央视高清频道,#genre#
NORBA,https://router.xdevel.com/video0s975885-462/stream/playlist_dvr.m3u8
joomusic,https://livecdn.live247stream.com/joomusic/tv/playlist.m3u8
Canale51,http://wms.shared.streamshow.it/canale51/canale51/playlist.m3u8

4K频道,#genre#

CCTV16-4K,http://192.168.3.1:55555/udp/239.11.0.132:1025
电影测试-4K,http://192.168.3.1:55555/udp/239.21.0.129:3860
广东综艺-4K,http://192.168.3.1:55555/udp/239.10.0.64:1025
广东综艺-4K,http://192.168.3.1:55555/udp/239.10.0.75:1025
南国都市-4K,http://192.168.3.1:55555/udp/239.11.0.170:1025
南国都市-4K,http://192.168.3.1:55555/udp/239.21.0.132:3872
广东综艺-4K1,http://192.168.3.1:55555/udp/239.20.0.59:3164
广东综艺-4K2,http://192.168.3.1:55555/udp/239.20.0.60:3160
广东综艺-4K3,http://192.168.3.1:55555/udp/239.20.0.61:3156
广东综艺-4K4,http://192.168.3.1:55555/udp/239.20.0.62:3152




